vehicle_type,price
suv,9300.910551181103
convertible,7124.2125883499875
coupe,6427.322424521779
bus,5677.5863465084585
wagon,5202.831053871287
sedan,4937.380743501158
other,4028.276729559748
small,2963.2114437043574
