,Precio Original,Precio Transformado (Log)
count,258201.0,258201.0
mean,4954.4283174735965,8.018506518206383
std,4627.828544121517,1.0783738990300393
min,100.0,4.61512051684126
25%,1400.0,7.244941546337007
50%,3300.0,8.101980731853192
75%,7000.0,8.853808274977197
max,20000.0,9.90353755128617
