,Precio Original,Precio Transformado (Log)
count,228568.0,228568.0
mean,5159.774303489552,8.077029592524134
std,4696.000890022215,1.0607397439408588
min,100.0,4.61512051684126
25%,1500.0,7.313886831633462
50%,3500.0,8.160803920954665
75%,7500.0,8.922791623969637
max,20000.0,9.90353755128617
